Symptom,Disease
방사통,"근근막 통증 증후군(myofascial pain syndrome), 급성 관동맥 증후군(Acute Coronary Syndrome), 만성 담낭염(Chronic cholecystitis), 만성 췌장염(Chronic pancreatitis), 신경근병증(Radiculopathy), 악성 중피종(Malignant mesothelioma), 오래된 심근경색증(Old myocardial infarction), 요추관 협착증(Lumbar spinal stenosis), 위식도 역류성 질환(Gastro-esophagus reflux disease), 유방통(Mastodynia), 턱관절 장애(Temporomandibular joint disorders), 허혈성 심질환(Ischemic heart disease), 협심증(Angina pectoris)"
치근단 부위 부종,"근단 주위 농양(Periapical abscess with sinus), 치근낭(Radicular cyst)"
이가 시림,"근단 주위 농양(Periapical abscess with sinus), 치아 우식증[충치](Dental Caries)"
잇몸염증,"근단 주위 농양(Periapical abscess with sinus), 만성 치주염(Chronic periodontitis), 치은염(Gingivitis)"
손,"근위축성 측색 경화증(Amyotrophic lateral sclerosis), 다발성 신경병증(Polyneuropathy), 당뇨병성 말초신경병증(Diabetic polyneuropathy), 스핑고 지질증(Other sphingolipidosis)"
발 감각 저하,"근위축성 측색 경화증(Amyotrophic lateral sclerosis), 다발성 신경병증(Polyneuropathy), 당뇨병성 말초신경병증(Diabetic polyneuropathy), 스핑고 지질증(Other sphingolipidosis)"
근육의 뒤틀림,근육긴장이상증(Dystonia)
눈꺼풀의 떨림,"근육긴장이상증(Dystonia), 뇌전증(Epilepsy), 신생아 경련(Convulsions of newborn)"
사경,"근육긴장이상증(Dystonia), 망막아세포종(Retinoblastoma), 선천성 사경(Congenital (sternomastoid) torticollis)"
근육긴장,"근육긴장이상증(Dystonia), 불안 장애(Anxiety disorder), 신생아 경련(Convulsions of newborn)"
안검하수,"근육병(Myopathy), 보툴리눔독소증(Botulism), 중증 근무력증(Myasthenia gravis)"
종아리 근육의 비대,근육병(Myopathy)
복시,"금단 현상(Withdrawal Phenomenon), 길랑-바레 증후군(Guillain-Barre Syndrome), 뇌졸중(Cerebrovascular disease), 백내장(Cataract), 보툴리눔독소증(Botulism), 비인두 종양(Nasopharyngeal tumor), 사시(Strabismus), 수막종(Meningioma), 안와 골절(orbital fracture), 중증 근무력증(Myasthenia gravis), 척추 뇌저 동맥 증후군(Vertebro-basilar artery syndrome)"
서맥,"금단 현상(Withdrawal Phenomenon), 로하드 증후군(ROHHAD Syndrome), 신생아 괴사성 장염(Necrotizing enterocolitis of fetus and newborn), 심장신경성 실신(Neurocardiogenic syncope), 외상에 의한 척추 손상(Traumatic spine injury), 점액수종 혼수(Myxoedema coma), 태변 흡인 증후군(Meconium aspiration syndrome), 황열(Yellow fever)"
환각,"금단 현상(Withdrawal Phenomenon), 라이 증후군(Reye syndrome), 분열정동 장애(Schizoaffective disorders), 섬망(Delirium), 우울증(Depressive disorder), 조현병(정신분열병)(schizophrenia)"
환청,"금단 현상(Withdrawal Phenomenon), 분열정동 장애(Schizoaffective disorders)"
감기 증상,"급성 A형 간염(Acute hepatitis A), 급성 바이러스성 간염(Acute viral hepatitis), 박테리아성 뇌수막염(Bacterial meningitis), 생식선 및 생식 세포의 신생물(Gonadal and germ cell neoplasma), 심근염(Myocarditis), 지역사회성 폐렴(Community acquired pneumonia), 처그 스트라우스 증후군(Churg strauss syndrome), 탄저병(Anthrax)"
단백뇨,"급성 간질성 신염(Acute tubulo-interstitial nephritis), 단세포군감마글로불린병증(Monoclonal gammopathy of undetermined significance), 라싸열(Lassa fever ), 면역글로불린 A 신병증(IgA nephropathy), 미세변화 신증후군(Minimal change nephrotic syndrome), 미세혈관병용혈빈혈(Microangiopathic hemolytic anemia), 사구체신염(Glomerulonephritis), 신증후군(Nephrotic syndrome), 신증후성 출혈열(Hemorrhagic fever with renal syndrome), 알포트 증후군(Alports syndrome), 임신성 고혈압(Pregnancy-induced hypertension), 캐슬만병(Castlemans disease)"
혈뇨,"급성 간질성 신염(Acute tubulo-interstitial nephritis), 면역글로불린 A 신병증(IgA nephropathy), 미세혈관병용혈빈혈(Microangiopathic hemolytic anemia), 방광소장 누공(Vesicointestinal fistula), 방광암(Bladder cancer), 사구체신염(Glomerulonephritis), 신세포암종(Renal cell carcinoma), 신우요관 폐색(UPJ obstruction), 신우요관암(Renal pelvis cancer), 신장 결석(Renal stone), 알포트 증후군(Alports syndrome), 양성 전립선 비대증(Benign prostatic hyperplasia), 요관 결석(Ureteral stone), 요관 협착(Ureteral stricture), 요로결석(Urolithiasis), 용혈성 요독 증후군(Hemolytic Uremic Syndrome), 윌름즈 종양(Wilms Tumor), 윌슨병(Willson disease), 자궁 상피 내 암종(Carcinoma in situ of Cervix), 전립선암(Prostate cancer), 전이성 신장암(Kidney, cancer, metastatic), 혈관염(Vasculitis), 혈뇨(Hematuria), 혈정액증(Hematospermia)"
천명음,"급성 기관지염(Acute bronchitis), 기관지확장증(Bronchiectasis), 만성 폐쇄성 폐질환(Chronic obstructive pulmonary disease), 성인 호흡곤란 증후군(Adult respiratory distress syndrome), 소세포성 폐암(Small cell lung cancer), 소화관의 이물(Foreign body in alimentary tract), 아스페르길루스증(Aspergillosis), 양성 종격동 종양(Benign mediastinal tumor), 재발성 천명(Recurrent wheeze), 처그 스트라우스 증후군(Churg strauss syndrome), 천식(Asthma), 후두암(Larynx  cancer)"
다발성 관절염,"급성 류마티스성 열(Acute Rheumatic fever), 류마티스 관절염(Rheumatoid arthritis)"
배뇨 시 통증,"급성 방광염(Acute cystitis), 급성 신우신염(Acute pyelonephritis), 급성 질염(Acute vaginitis), 방광암(Bladder cancer), 방광요관 역류(Vesicoureteral reflux), 방광의 신경근육 기능 장애(Neuromuscular dysfunction of bladder), 방광질 누공(Vesicovaginal fistula), 배뇨통(Dysuria), 복압성 요실금(Stress urinary incontinence), 비임균성 요도염(Nongonococcal urethritis), 산욕열(Puerperal fever), 생식선 및 생식 세포의 신생물(Gonadal and germ cell neoplasma), 수신증(Hydronephrosis), 요로 감염(Urinary tract infection), 질암(Vaginal Cancer), 칸디다성 외음질염(Candidal vulvovaginitis), 혈뇨(Hematuria)"
산혈증,"급성 신부전(Acute renal failure), 프로피온산증(Propionic acidemia)"
무뇨,"급성 신부전(Acute renal failure), 대동맥 협착증(Coarctation of aorta), 대동맥궁 단절(Interrupted aortic arch), 말기 신질환(End stage renal disease), 파종혈관내응고(Diffuse or disseminated intravascular coagulation)"
쇼크,"급성 신부전(Acute renal failure), 대동맥 협착증(Coarctation of aorta), 대동맥궁 단절(Interrupted aortic arch), 동맥류(Other aneurysm), 발육부전성 좌심 증후군(Hypoplastic left heart syndrome), 복부 대동맥류(Abdominal aortic Aneurysm), 심낭염(Pericarditis), 저혈당증(Hypoglycemia)"
저혈량 쇼크,"급성 신부전(Acute renal failure), 대동맥 박리(Aortic dissection), 파종혈관내응고(Diffuse or disseminated intravascular coagulation)"
잔뇨감,"급성 신우신염(Acute pyelonephritis), 만성 전립선염(Chronic prostatitis), 배뇨통(Dysuria), 양성 전립선 비대증(Benign prostatic hyperplasia), 요로 감염(Urinary tract infection), 요로결석(Urolithiasis), 자궁경부염(Cervicitis)"
이폐색감,"급성 중이염(Acute otitis media), 메니에르병(Meniere's disease), 삼출성 중이염(Otitis media with effusion)"
귀의 통증,"급성 중이염(Acute otitis media), 난청(hearing loss), 만성 중이염(Chronic otitis media), 외이도염(Otitis externa), 유행성 이하선염(Mumps), 이루증(Otorrhea), 편도결석(tonsillolith)"
혈소판감소 ,"급성림프모구백혈병(Acute lymphoblastic leukemia), 반티 증후군(Banti syndrome), 신생아 다혈구증(Polycythemia), 장출혈성 대장균 감염증(Enterohemorrhagic Escherichia coli), 중증 열성 혈소판감소 증후군(Severe fever with thrombocytopenia syndrome(SFTS)), 항인지질 항체 증후군(Antiphospholipid antibody syndrome)"
반복되는 폐렴,"기관 협착(Stenosis of trachea), 심실 중격 결손(Ventricular septal defect), 재생불량빈혈(Aplastic anemia)"
사래걸림,기관 협착(Stenosis of trachea)
고탄산증,기관지폐 형성이상(Bronchopulmonary dysplasia)
천식,"기관지폐 형성이상(Bronchopulmonary dysplasia), 새집 증후군(Sick building syndrome), 소장암(Small bowel cancer), 처그 스트라우스 증후군(Churg strauss syndrome), 카르시노이드 증후군(Carcinoid syndrome)"
흉곽 팽윤,"기관지폐 형성이상(Bronchopulmonary dysplasia), 만성 폐쇄성 폐질환(Chronic obstructive pulmonary disease)"
저산소증,"기관지폐 형성이상(Bronchopulmonary dysplasia), 양수색전증(Amniotic fluid embolism), 태변 흡인 증후군(Meconium aspiration syndrome), 특발성 폐섬유화증(Idiopathic pulmonary fibrosis)"
호기의 증가,기관지폐 형성이상(Bronchopulmonary dysplasia)
곤봉지,"기관지확장증(Bronchiectasis), 만성 폐쇄성 폐질환(Chronic obstructive pulmonary disease), 미만성 간질성 폐질환(Diffuse Interstitial lung disease), 특발성 폐섬유화증(Idiopathic pulmonary fibrosis)"
트림,"기능성 위장 장애(Functional Gastrointestinal Disorder), 소화불량(Dyspepsia), 식도이완불능증(Esophageal Achalasia), 십이지장염(Duodenitis)"
수면 마비,"기면증(Narcolepsy), 수면 장애(Sleep Disorder)"
탈력발작,기면증(Narcolepsy)
낮 시간대의 졸음,"기면증(Narcolepsy), 수면 장애(Sleep Disorder), 원충성 질환(PROTOZOAL DISEASES), 춘곤증(spring fatigue)"
입수면기의 환각,"기면증(Narcolepsy), 수면 장애(Sleep Disorder)"
반점,"기미(Melasma), 기저세포 암종(Basal cell carcinoma), 뎅기열(Dengue fever), 돌발성 발진(Exanthem subitum), 모반(Nevus), 바르톨린샘의 고름집(Abscess of Bartholin's gland), 봉와직염(Cellulitis), 성인형 스틸병(Adult-Onset Stills disease), 스터지 웨버 증후군(Sturge Weber Syndrome), 스티븐 존슨 증후군(Stevens Johnson syndrome), 심내막염(Endocarditis), 오타 모반(Ota like Melanosis), 유방 파제트병 (Pagets disease of the Breast), 장티푸스(typhoid fever), 혈관염(Vasculitis), 화염상 모반(Nevus flammeus), 흑사병(Yersinia Pestis)"
비관주의,기분부전증(Dysthymia)
우유부단함 ,기분부전증(Dysthymia)
낮은 자존감 ,"기분부전증(Dysthymia), 성도착증(Paraphilia), 성인 주의력 결핍 과잉행동장애(Adult attention-deficit hyperactivity disorder)"
에너지가 적음,기분부전증(Dysthymia)
흥분,"기억상실증(amnesia), 라이 증후군(Reye syndrome), 병적 방화(Pathological fire-setting), 저나트륨혈증(Hyponatremia), 저혈당증(Hypoglycemia)"
건망증,"기억상실증(amnesia), 성인 주의력 결핍 과잉행동장애(Adult attention-deficit hyperactivity disorder), 저체온증(Hypothermia), 치매(Dementia), 크로이츠펠트-야콥병(Creutzfeldt-Jakob disease), 폐경(Menopause)"
초조함,"기억상실증(amnesia), 불안 장애(Anxiety disorder), 산후 우울증(Postpartum depression), 섬망(Delirium), 소아청소년기 우울증(Depression in childhood and adolescence)"
배뇨장애,"길랑-바레 증후군(Guillain-Barre Syndrome), 다발골수종(Multiple myeloma), 다발성 경화증(Multiple sclerosis), 방광탈(Cystocele), 배뇨통(Dysuria), 생식선 및 생식 세포의 신생물(Gonadal and germ cell neoplasma), 양성 전립선 비대증(Benign prostatic hyperplasia), 완전 척수 손상(Complete cord injury), 외상에 의한 척수 손상(Traumatic Spinal cord injury), 요로 감염(Urinary tract infection), 자궁 상피 내 암종(Carcinoma in situ of Cervix), 자궁경부암(Cervical cancer), 조기 폐경(Premature ovarian failure), 척수병증(Myelopathy), 척수수막류(Myelomeningoceles), 후종인대 골화증(Ossification of posterior longitudinal ligament)"
다리 통증,"길랑-바레 증후군(Guillain-Barre Syndrome), 오스굿씨 병(Osgood Schlatter Disease), 외반슬(Knock-knee), 요추 추간판 탈출증(Herniation of intervertebral disk), 자궁경부암(Cervical cancer), 좌골신경통(Sciatica), 퇴행성 척추 장애(Degenerative spinal disorder), 하지불안증후군(Restless Legs Syndrome)"
안면마비,"길랑-바레 증후군(Guillain-Barre Syndrome), 모야모야병(Moyamoya disease), 신경초종(Schwannoma), 안면 마비(Facial palsy), 일과성 뇌허혈증(Transient cerebral ischemia), 타액선암(Malignant neoplasm of salivary glands)"
재채기,"꽃가루 알레르기(Pollen allergy), 냉방병(Air-conditioningitis), 만성 비염(Chronic rhinitis), 상기도 감염(Upper respiratory infections), 알레르기 비염(Allergic rhinitis)"
희발월경,"난관수종(Hydrosalpinx), 뇌하수체 기능부전(Hypopituitarism), 다낭성 난소 증후군(Polycystic ovary syndrome), 성선기능저하증(Hypogonadism), 자궁 발육부전(Hypoplasia uteri), 희발월경(Oligomenorrhea)"
"읽기,쓰기 능력 부족",난독증(Dyslexia)
여드름,"난소, 난관 이상(Disorders of ovary, fallopian tube), 다낭성 난소 증후군(Polycystic ovary syndrome), 모낭염(Folliculitis), 부신암(Adrenal gland cancer), 쿠싱 증후군(Cushing's syndrome), 희발월경(Oligomenorrhea)"
배변장애,"난소의 양성 종양(Benign ovary tumor), 다발성 경화증(Multiple sclerosis), 자궁 상피 내 암종(Carcinoma in situ of Cervix), 자궁경부암(Cervical cancer), 척수병증(Myelopathy), 후종인대 골화증(Ossification of posterior longitudinal ligament)"
성생활이 힘듦,남성 불임(Male infertility)
성격의변화,"납 중독(Lead Poisoning), 뇌농양(Brain abscess), 바이러스성 뇌수막염(Viral meningitis), 외상성 치매 (Traumatic dementia), 진행성 핵상마비(progressive supranuclear palsy), 치매(Dementia)"
옆구리 통증,"낭성 신장 질환(Cystic kidney disease), 맹장염(Appendicitis), 면역글로불린 A 신병증(IgA nephropathy), 방광암(Bladder cancer), 신세포암종(Renal cell carcinoma), 신우요관 폐색(UPJ obstruction), 신우요관암(Renal pelvis cancer), 신장 결석(Renal stone), 요관 결석(Ureteral stone), 요관 협착(Ureteral stricture), 요로 감염(Urinary tract infection), 요로결석(Urolithiasis), 혈뇨(Hematuria)"
호흡기감염,"낭종성 폐질환(Cystic Lung Disease), 심실 중격 결손(Ventricular septal defect)"
발이 안쪽을 향해 걸음,내반슬(Bow leg)
양무릎사이 벌어짐,내반슬(Bow leg)
팔의 통증,"내상과염(Golf Elbow), 석회성 건염(Calcific Tendinitis), 쇄골 골절(Clavicle Fracture), 유방통(Mastodynia), 주관절 외상과염(Tennis Elbow), 흉곽출구 증후군(Thoracic outlet syndrome)"
육아조직,내향성 손발톱(Ingrowing nails)
다뇨,"넬슨 증후군(Nelson's syndrome), 당뇨병(Diabetes mellitus), 당뇨병성 케톤산증 (Diabetic ketoacidosis), 신증후성 출혈열(Hemorrhagic fever with renal syndrome), 요붕증(Diabetes insipidus), 인슐린 비의존성 당뇨병(Non-insulin dependent diabetes mellitus), 인슐린 의존성 당뇨병(Insulin-dependent diabetes mellitus)"
질의 건조함,"노인성 질염(Senile (atrophic) vaginitis), 뇌하수체 기능부전(Hypopituitarism), 뇌하수체 양성 및 악성 신생물(Malignant or benign neoplasm of Pituitary gland), 성기능장애(Sexual dysfunctions), 쇼그렌 증후군(Sicca syndrome (Sjogren))"
눈가 및 이마 주름,"노화(Senility), 노화된 얼굴(Aging face)"
골다공증,"노화(Senility), 뇌하수체 기능부전(Hypopituitarism), 다발골수종(Multiple myeloma), 부갑상선기능항진증(Hyperparathyroidism), 부갑상선암(Parathyroid Cancer), 쿠싱 증후군(Cushing's syndrome), 크론병(Crohn's disease), 터너 증후군 (Turner syndrome), 폐경기 및 여성의 갱년기 상태(Menopausal and female climacteric states)"
이마의 주름,"노화(Senility), 안검하수(Ptosis of eyelid)"
코 옆과 입꼬리 주름,"노화(Senility), 노화된 얼굴(Aging face)"
볼,노화된 얼굴(Aging face)
눈주위 움푹 꺼짐,노화된 얼굴(Aging face)
볼이 처짐,노화된 얼굴(Aging face)
아래 눈꺼풀이 불룩함,노화된 얼굴(Aging face)
이중턱,노화된 얼굴(Aging face)
중심시력감소,"녹내장(Glaucoma), 베스트 난황형 황반부 이영양증 (Best vitelliform macular dystrophy)"
암점,"녹내장(Glaucoma), 중심장액성 맥락망막병증(Central Serous ChorioRetinopathy)"
주변시야손상,녹내장(Glaucoma)
장액성 분비물,"농가진(Impetigo), 옻 중독(Poison ivy dermatitis), 이루증(Otorrhea), 한선염(Hidradenitis suppurativa)"
화농성 객담,"농흉(Pyothorax, Empyema), 폐 농양(Abscess of lung)"
편두통,"뇌 동정맥 기형(Cerebral arteriovenous malformation), 섬유근육통(Fibromyalgia), 측두동맥염(Temporal arteritis), 피질하 경색과 백질뇌증을 동반하는 상염색체 우성 뇌동맥질환(Cerebral Autosomal Dominant Arteriopathy with Subcortical Infarcts and Leukoencephalopathy)"
뇌출혈,"뇌 동정맥 기형(Cerebral arteriovenous malformation), 면역혈소판감소증(Immune thrombocytopenia)"
박동성 통증,"뇌 동정맥 기형(Cerebral arteriovenous malformation), 두통(Headache), 편두통(Migraine)"
편측 사지의 감각소실,뇌동맥 폐쇄(Occlusion of cerebral artery)
의식 저하,"뇌동맥 폐쇄(Occlusion of cerebral artery), 뇌염(Encephalitis), 뇌전증(Epilepsy), 뇌출혈(Cerebral hemorrhage), 당뇨병성 케톤산증 (Diabetic ketoacidosis), 댄디워커 증후군(Dandy-Walker syndrome), 부신 기능부전(Adrenal insufficiency), 성인 호흡곤란 증후군(Adult respiratory distress syndrome), 시트룰닌혈증(Citrullinemia), 요독증(Uremia), 요붕증(Diabetes insipidus), 음식 알레르기(Food allergy), 일산화탄소 중독(Carbon monoxide-poisoning), 저체온증(Hypothermia), 저혈당증(Hypoglycemia), 점액수종 혼수(Myxoedema coma), 지주막하 출혈(Subarachnoid hemorrhage), 파종혈관내응고(Diffuse or disseminated intravascular coagulation), 패혈증(Sepsis)"
무의지증,뇌동맥 폐쇄(Occlusion of cerebral artery)
운동 실어증,뇌동맥 폐쇄(Occlusion of cerebral artery)
안구내 출혈,"뇌동맥류(Cerebral aneurysm), 렙토스피라증(Leptospirosis)"
무의식,"뇌사(brain death), 혼수(Coma)"
무호흡,"뇌사(brain death), 신생아 가사(Neonatal asphyxia), 신생아 경련(Convulsions of newborn), 신생아 괴사성 장염(Necrotizing enterocolitis of fetus and newborn), 신생아 다혈구증(Polycythemia), 저칼슘혈증(Hypocalcemia)"
동공산대,"뇌사(brain death), 망막아세포종(Retinoblastoma)"
호르몬변화,뇌사(brain death)
반사 이상,"뇌사(brain death), 뇌성 마비(Cerebral palsy), 핵황달(Kernicterus)"
방향감각 상실,"뇌염(Encephalitis), 알츠하이머병(Alzheimer's disease), 크로이츠펠트-야콥병(Creutzfeldt-Jakob disease)"
경부 강직,"뇌염(Encephalitis), 바이러스성 뇌수막염(Viral meningitis), 박테리아성 뇌수막염(Bacterial meningitis), 지주막하 출혈(Subarachnoid hemorrhage), 효모균증(Cryptococcosis)"
정신 혼미,"뇌염(Encephalitis), 지중해빈혈(Thalassemia)"
당뇨,"뇌하수체 기능 항진(Hyperfunction of pituitary gland), 만성 췌장염(Chronic pancreatitis), 모세혈관 확장성 운동실조 증후군 (Ataxia-telangiectasia syndrome), 부신 종양(Adrenal tumor), 부신암(Adrenal gland cancer), 췌장염(Pancreatitis), 터너 증후군 (Turner syndrome)"
거인증,뇌하수체 기능 항진(Hyperfunction of pituitary gland)
말단비대,"뇌하수체 기능 항진(Hyperfunction of pituitary gland), 말단비대증(Acromegaly), 카르시노이드 증후군(Carcinoid syndrome)"
얼굴부종,"뇌하수체 기능 항진(Hyperfunction of pituitary gland), 라싸열(Lassa fever ), 신경모세포종(Neuroblastoma), 신부전(Renal failure), 안와 골절(orbital fracture), 침샘염(Sialoadenitis), 혈관부종(Angioedema)"
성기능 장애,"뇌하수체 기능부전(Hypopituitarism), 다발성 경화증(Multiple sclerosis), 부신암(Adrenal gland cancer), 쿠싱 증후군(Cushing's syndrome)"
저혈당,"뇌하수체 기능부전(Hypopituitarism), 덤핑 증후군(Dumping syndrome), 러셀 실버 증후군 (Russell-Silver syndrome), 베크위트-위드만 증후군(Beckwith-Wiedemann syndrome), 부신 기능부전(Adrenal insufficiency), 신생아 다혈구증(Polycythemia), 카르니틴 팔미토일 전환효소 결핍증 2형(Carnitine Palmitoyltransferase II Deficiency)"
복부비만,"뇌하수체 기능부전(Hypopituitarism), 대사 증후군(Metabolic syndrome), 부신암(Adrenal gland cancer), 성장호르몬 결핍증(Growth hormone deficiency), 쿠싱 증후군(Cushing's syndrome), 프라더 윌리 증후군 (Prader-Willi syndrome)"
성욕감퇴,"뇌하수체 양성 및 악성 신생물(Malignant or benign neoplasm of Pituitary gland), 성기능장애(Sexual dysfunctions), 성선기능저하증(Hypogonadism), 카르시노이드 증후군(Carcinoid syndrome), 폐경(Menopause), 폐경기 및 여성의 갱년기 상태(Menopausal and female climacteric states)"
성선 기능 저하증,"뇌하수체 양성 및 악성 신생물(Malignant or benign neoplasm of Pituitary gland), 칼만 증후군(Kallmann syndrome)"
유루증,"뇌하수체 양성 및 악성 신생물(Malignant or benign neoplasm of Pituitary gland), 눈물흘림증(Epiphora)"
표준 신장의 3%이하,"누난 증후군 (Noonan syndrome), 성장호르몬 결핍증(Growth hormone deficiency), 저신장(Short stature), 터너 증후군 (Turner syndrome)"
가늘어지는 팔다리,"니만-피크병(Niemann-Pick disease), 쿠싱 증후군(Cushing's syndrome)"
낮은 지능,"니만-피크병(Niemann-Pick disease), 반응성 애착장애(Reactive Attachment Disorder), 행동 및 충동 장애(Disruptive, impulse-control and conduct disorders)"
다모증,"다낭성 난소 증후군(Polycystic ovary syndrome), 코넬리아드랑게 증후군 (Cornelia de Lange syndrome)"
촘촘하게 난 털,다모증(Excessive hair growth)
사지 마비,"다발성 경화증(Multiple sclerosis), 쇼그렌 증후군(Sicca syndrome (Sjogren)), 완전 척수 손상(Complete cord injury), 잠금 증후군(Locked-in Syndrome), 횡단성 척수염(Transverse myelitis)"
시신경염,다발성 경화증(Multiple sclerosis)
안구진탕,"다발성 경화증(Multiple sclerosis), 베르니케 코시코프 증후군(Wernicke-korsakoff syndrome), 이석증(Benign paroxysmal vertigo), 저마그네슘혈증(Hypomagnesemia)"
시림,"다발성 신경병증(Polyneuropathy), 당뇨병성 족부 질환(DM foot ulcer), 말초동맥질환(Peripheral aterial disease, PAD), 수족냉증(Coldness of hands and feet)"
안면 변형,"다운 증후군 (Down syndrome), 무치아증(Anodontia), 선천성 사경(Congenital (sternomastoid) torticollis), 에드워드 증후군 (Edwards syndrome), 크루존 증후군(Crouzon syndrome)"
심혈관계 증상,"다운 증후군 (Down syndrome), 비만(Obesity), 윌리암스 증후군 (Williams syndrome), 파브리병(Fabry disease), 파타우 증후군(Patau syndrome)"
납작한 코,"다운 증후군 (Down syndrome), 신장 이형성증(Renal dysplasia)"
축 쳐진 귀,"다운 증후군 (Down syndrome), 신장 이형성증(Renal dysplasia)"
거품있는 소변,"단세포군감마글로불린병증(Monoclonal gammopathy of undetermined significance), 신증후군(Nephrotic syndrome)"
무산소 발작,"단심실(Single ventricle), 양대혈관 우심실 기시증(Double outlet right ventricle), 양방단실유입증(Double inlet ventricle), 익수(Submersion), 팔로 사 징후(Tetralogy of Fallot with/without PA)"
다른 선천성 기형,"단일 제대 동맥(Single Umbilical Artery), 두개 유합증(Craniosynostosis), 묘성 증후군(Cri du Chat syndrome), 바르덴부르크 증후군(Waardenburg syndrome), 트리처 콜린스 증후군 (Treacher-Collins syndrome)"
태아,"단일 제대 동맥(Single Umbilical Artery), 스터지 웨버 증후군(Sturge Weber Syndrome), 태아 알코올 증후군(Fetal alcohol syndrome), 태아 알코올 증후군(Fetal alcohol syndrome)"
신생아의 기형,"단일 제대 동맥(Single Umbilical Artery), 태아 알코올 증후군(Fetal alcohol syndrome)"
지방변,"단장 증후군(Short Bowel Syndrome), 만성 췌장염(Chronic pancreatitis), 신생아 답즙정체증(Neonatal Cholestasis), 췌장암(Pancreatic cancer)"
산통,"담낭 선근종증(Aadenomyomatosis of Gallbladder), 위막성 대장염(Pseudomembranous colitis)"
황반부종,당뇨망막병증(Diabetic retinopathy)
비문증,"당뇨망막병증(Diabetic retinopathy), 망막 박리(Retinal detachments & breaks), 맥락막 흑색종(Choroidal melanoma), 유리체 출혈(Vitreous hemorrhage), 포도막염(Uveitis)"
광시증,"당뇨망막병증(Diabetic retinopathy), 망막 박리(Retinal detachments & breaks), 맥락막 흑색종(Choroidal melanoma)"
사물이 찌그러져 보임,"당뇨망막병증(Diabetic retinopathy), 망막 박리(Retinal detachments & breaks), 망막 전막(Epiretinal membrane), 베스트 난황형 황반부 이영양증 (Best vitelliform macular dystrophy)"
고혈당,"당뇨병(Diabetes mellitus), 인슐린 비의존성 당뇨병(Non-insulin dependent diabetes mellitus), 인슐린 의존성 당뇨병(Insulin-dependent diabetes mellitus), 임신성 당뇨병(Gestational diabetes)"
다식,"당뇨병(Diabetes mellitus), 인슐린 비의존성 당뇨병(Non-insulin dependent diabetes mellitus), 인슐린 의존성 당뇨병(Insulin-dependent diabetes mellitus)"
다음,"당뇨병(Diabetes mellitus), 인슐린 비의존성 당뇨병(Non-insulin dependent diabetes mellitus), 인슐린 의존성 당뇨병(Insulin-dependent diabetes mellitus)"
발가락의 변형,"당뇨병성 족부 질환(DM foot ulcer), 망치족지(Hammer toe)"
괴사,"당뇨병성 족부 질환(DM foot ulcer), 동맥색전증 및 혈전증(Arterial embolism and thrombosis), 말초동맥질환(Peripheral aterial disease, PAD), 봉와직염(Cellulitis), 비브리오 패혈증(Vibrio vulnificus Septicemia), 욕창(Skin defect (and/or) soft tissue defect), 파라핀종(Paraffinoma)"
구강호흡,"당뇨병성 케톤산증 (Diabetic ketoacidosis), 비중격 만곡(Nasal septal deviation), 아데노이드의 비대를 동반한 편도의 비대(Hypertrophy of tonsils with hypertrophy of adenoids)"
구강건조,"당뇨병성 케톤산증 (Diabetic ketoacidosis), 쇼그렌 증후군(Sicca syndrome (Sjogren)), 신체형 장애(Somatic symptom disorder), 요붕증(Diabetes insipidus)"
요관 폐쇄,"대동맥 박리(Aortic dissection), 전립선암(Prostate cancer)"
헛배,대동맥 박리(Aortic dissection)
실신,"대동맥 박리(Aortic dissection), 대동맥 협착(Aortic stenosis), 대동맥류(Aortic aneurysm), 발작(Seizure), 부르가다 증후군(Brugada Syndrome), 부정맥(Cardiac arrhythmias), 심방 세동(Atrial fibrillation), 심실 빈맥(Ventricular tachycardia), 심실 세동(Ventricular fibrillation), 심장 판막 질환(Valvular heart disease), 전도 장애(Conduction disorders), 폐 혈전색전증(Pulmonary thromboembolism), 호흡성 알칼리증(Respiratory Alkalosis)"
발육부전,"대동맥 협착증(Coarctation of aorta), 동맥간증(Truncus arteriosus), 동맥관 개존증(Patent ductus arteriosus), 베크위트-위드만 증후군(Beckwith-Wiedemann syndrome), 부갑상선기능저하증(Hypoparathyroidism), 선천성 기형(Congenital malformation), 선천성 심장 질환(Congenital heart disease), 수정대혈관 전위(Corrected TGA), 신생아 답즙정체증(Neonatal Cholestasis), 쌍태아 수혈 증후군(Twin to twin Transfusion Syndrome), 양대혈관 우심실 기시증(Double outlet right ventricle), 양방단실유입증(Double inlet ventricle), 엔젤만 증후군(Angelman syndrome), 엡스테인 심기형(Ebstein anomaly), 연골무형성증(Achondroplasia), 윌리암스 증후군 (Williams syndrome), 전폐정맥연결 이상(Total anomalous pulmonary venous connection), 조로증(progeria), 팔로 사 징후(Tetralogy of Fallot with/without PA)"
신부전,"대동맥 협착증(Coarctation of aorta), 렙토스피라증(Leptospirosis), 신동맥 협착증(Renal artery stenosis), 신부전(Renal failure), 아밀로이드증(Amyloidosis), 용혈성 요독 증후군(Hemolytic Uremic Syndrome)"
심인성 쇼크,"대동맥궁 단절(Interrupted aortic arch), 발살바동 동맥류 파열(Ruptured sinus of valsava aneurysm), 융모막암종(Choriocarcinoma)"
저심박출량,"대동맥궁 단절(Interrupted aortic arch), 탈락 피부염(Exfoliative dermatitis)"
