Title,Symptoms,Related Diseases,Departments,Synonyms
큐열(Q Fever),"발진, 근육통, 간비대, 설사, 두통, 기침, 열, 오한, 권태감, 목의 통증, 구토","야토병, 브루셀라증, 조류 인플루엔자(AI) 인체감염증, 털진드기병, 라임병",감염내과,"Q열,Query fever"
크로이츠펠트-야콥병(Creutzfeldt-Jakob disease),"방향감각 상실, 건망증, 근육경련, 인지장애, 운동장애",치매,"신경과, 소아신경과","CJD,vCJD,변종 크로이펠트-야콥병,야콥병,야곱병"
크론병(Crohn's disease),"관절통, 열, 복부 통증, 오심, 설사, 체중감소, 골다공증, 혈변, 식욕부진, 구토, 관절염, 발한, 피로감","골다공증, 궤양성 대장염, 자극성 장 증후군, 항문 누공, 관절염, 항문 주위 농양","소화기내과, 대장항문외과, 소아소화기영양과","국한성 창자염,염증성 장질환,육아종성 대장염,크론씨병"
크루존 증후군(Crouzon syndrome),"정신 지체, 안면 변형, 안구돌출","연골형성저하증, 스티클러 증후군, 에이퍼트 증후군 , 연골무형성증, 저인산증, 골형성부전증, 파이퍼 증후군 ","의학유전학센터, 의학유전학과","크로존 증후군,크루존병,크루존씨병"
클라인펠터 증후군 (Klinefelter syndrome),,"XXX 증후군, XYY 증후군, 터너 증후군 ","의학유전학센터, 소아내분비대사과, 의학유전학과",
클리펠-트라우네이-베버 증후군(Klippel-Trenaunay-Weber syndrome),,"바르덴부르크 증후군, 루빈스타인 테이비 증후군 , ARC 증후군, 베크위트-위드만 증후군, 코넬리아드랑게 증후군 , 엘러스-단로스 증후군 , 연골외배엽 이형성증 , 판코니범혈구감소증, 골덴하 증후군, 홀트-오람 증후군 , 대뇌성 거인증 , 러셀 실버 증후군 , 다발성 흑자 증후군, 마르판 증후군 , 누난 증후군 , 트리처 콜린스 증후군 ","의학유전학센터, 의학유전학과",
타석증(Sialolithiasis),턱의 통증,침샘염,이비인후과,"침돌증,침샘의돌,타액결석증"
타액선암(Malignant neoplasm of salivary glands),"안면마비, 종양부위 부종, 목 주변 부종, 턱의 통증, 목의 통증, 목소리 변화, 경부 림프절병증, 덩어리가 만져짐","구강암, 타석증","종양내과, 방사선종양학과, 소아청소년종양혈액과, 이비인후과, 치과, 암병원","Salivary Gland Tumor,Salivary adenocarcinoma,설하선암,소타액선암,악하선암,이하선암,침샘암"
타카야수 혈관염(Takayasu’s Arteritis),"열, 발한, 식욕부진, 체중감소","폐색성 혈전 혈관염 , 혈관염","심장내과, 혈관외과, 신경과, 류마티스내과","pulseless disease,대동맥궁 증후군,대동맥활 증후군,타카야수동맥염,다까야수혈관염"
타코츠보 심근증(Takotsubo cardiomyopathy),"오심, 가슴 통증, 호흡곤란","심근병증, 만성 폐쇄성 폐질환, 심근염, 천식, 급성 심근경색증, 오래된 심근경색증, 불안정형 협심증, 협심증",심장내과,"스트레스성 심근증,상심증후군,상실심장증후군,스트레스 유발성성 심근증,Broken heart syndrome,Broken heart disease,Apical ballooning syndrome,Stress (induced) cardiomyopathy"
탄저병(Anthrax),"물집, 열, 피부소양감, 감기 증상, 복부 통증","패혈증, 바이러스성 뇌수막염",감염내과,탄저균
탈락 피부염(Exfoliative dermatitis),"빈맥, 저심박출량, 열, 인설, 환부 부종, 발적, 빈혈, 남성의 여성형 유방","림프종, 아토피성 피부염, 약물 알레르기, 약물 발진, 접촉 피부염, 지루성 피부염, 기저귀 피부염, 옴, 피부염, 습진, 백혈병, 만성 단순 태선, 비호지킨 림프종, 호지킨 림프종",피부과,"박탈성피부염,박탈피부염,벗음피부염,탈락피부염,홍색비강진,홍피증"
탈모증(Alopecia),"원형, 타원형의 탈모, 모발이 가늘어짐, 이마가 넓어짐","부갑상선기능저하증, 고환 여성화 증후군, 부신 기능부전, 뇌하수체 기능부전",피부과,"원형탈모,원형탈모증,탈모증"
탈항(Anal prolapse),"치핵의 탈출, 항문출혈, 소양감","치핵, 항문 누공, 항문 열구",소화기내과,"직장탈,탈출성 치핵"
태반 유착증(Placenta Accreta),"비정상적 질출혈, 복부 통증","태반 조기 박리, 분만 후 출혈, 조산, 전치 태반",산부인과,"유착태반,태반유착"
태반 조기 박리(Abruptio placenta),"비정상적인 진통, 자궁 수축, 비정상적 질출혈, 골반 통증, 복부 통증","파종혈관내응고, 유산, 조기 양막 파열, 조산",산부인과,Premature separation of placenta
태변 흡인 증후군(Meconium aspiration syndrome),"빈호흡, 호흡곤란, 근긴장의 이상, 저산소증, 청색증, 서맥","신생아 가사, 난산",신생아과,태변 흡입 증후군
태아 알코올 증후군(Fetal alcohol syndrome),"태아, 신생아의 기형, 태아, 신생아의 정신 장애",선천성 기형,"산부인과, 신생아과","FASD,Fetal alcohol spectrum disorder,태아알코올스펙트럼장애,태아알콜중후군"
태열(),"딱지, 물집, 피부소양감, 두드러기, 피부 건조","아토피성 피부염, 습진, 피부건조증, 접촉 피부염","피부과, 알레르기내과",
터너 증후군 (Turner syndrome),"골다공증, 얼굴형태의 이상, 중이염소견, 당뇨, 표준 신장의 3%이하, 고혈압, 림프 부종","XYY 증후군, XXX 증후군, 클라인펠터 증후군 ","의학유전학센터, 소아내분비대사과, 의학유전학과",
턱관절 장애(Temporomandibular joint disorders),"관절잡음, 턱의 통증, 방사통, 개 폐구 장애, 두통","턱크기의 주요 이상, 턱관절 탈구, 턱뼈 성장 이상",치과,"악관절 장애,측두하악장애"
턱관절 탈구(Luxation of the mandible),"두통, 하악전돌, 개 폐구 장애","안면 비대칭, 턱관절 장애, 턱뼈 성장 이상",치과,"측두하악골 탈구,턱빠짐,턱탈구"
턱뼈 성장 이상(Anomalies of the jaw),"턱의 통증, 얼굴모양변화, 저작장애, 발음 이상","구개열, 뇌성 마비, 턱관절 장애, 구순열","성형외과, 치과","돌출입,무턱증"
턱의 기타 낭증(Other cysts of jaw),"무증상, 입 주변 부종",치근낭,치과,"맹출성 낭종,비치조낭종,석회화 치성 낭종,원시성 낭종,치성각화낭종,치주낭종,합치성 낭종"
털진드기병(Scrub typhus),"경부 림프절병증, 발진, 열, 온몸이 떨림, 오한, 두통, 물집, 딱지","라임병, 야토병, 신증후성 출혈열, 큐열, 렙토스피라증",감염내과,"tsutsugamushi disease,덤블티푸스,쓰쓰가무시,쓰쓰가무시병,쓰쓰가무시증,진드기 티푸스,쯔쯔가무시,쯔쯔가무시증,쯔쯔가무시병"
테이-삭스병 (Tay-Sachs disease),"운동장애, 떨림(진전), 뇌전증 발작 , 근긴장의 이상, 청각과민","고셔병, 이염성 백질이영양증 , 니만-피크병, 파브리병","의학유전학센터, 의학유전학과",흑내장가족성백치
톡소플라즈마증(Toxoplasmosis),"눈의 통증, 기침, 객혈, 눈부심, 호흡곤란","면역결핍증, 원충성 질환, 선모충증, 후천성 면역결핍증, 요충증",감염내과,"주혈 원충병,톡소포자충,톡소포자충증,톡소플라스마,톡소플라스마증,톡소플라즈마"
통풍(Gout),"발의 통증, 환부 부종, 열, 오한, 무릎 부위 통증","통풍성 관절염, 관절염",류마티스내과,
통풍성 관절염(gouty arthritis),"환부 통증, 운동장애, 관절염, 관절통",통풍,류마티스내과,"과요산성 관절염,urarthritis"
퇴행성 척추 장애(Degenerative spinal disorder),"요통, 저림, 관절의 경직, 다리 통증","요추 전방전위증, 요추관 협착증",정형외과,퇴행성 척추 질환
트리처 콜린스 증후군 (Treacher-Collins syndrome),"난청, 얼굴형태의 이상, 다른 선천성 기형","스미스-마제니스 증후군 , ARC 증후군, 베크위트-위드만 증후군, 다발성 흑자 증후군, 루빈스타인 테이비 증후군 , 연골외배엽 이형성증 , 판코니범혈구감소증","성형외과, 의학유전학센터, 소아내분비대사과, 의학유전학과","프란체셰티증후군,하악안면골형성부전증,하악안면이골증"
트리코모나스증(Trichomoniasis),"소양감, 비정상적 질 분비물, 발적, 작열감",비임균성 요도염,산부인과,"질트리코모나스,질트리코모나스증,트리코모나스,트리코모나스 감염,트리코모나스 질염,트리코모나스감염증,트리코모너스감염,트리코모너스질염"
특발성 폐섬유화증(Idiopathic pulmonary fibrosis),"기침, 저산소증, 호흡곤란, 곤봉지, 운동 시 호흡곤란","만성 폐질환, 미만성 간질성 폐질환, 가습기 살균제 연관 폐질환, 만성 폐쇄성 폐질환",호흡기내과,특발성 폐섬유증
티눈 및 굳은살(Corns and callosities),"각질이 딱딱해짐, 피부 각질",조갑백선,피부과,
틱 장애(Tic),"이상한 소리를 냄, 비정상적인 움직임","우울증, 행동 및 충동 장애, 불안 장애","정신건강의학과, 소아정신건강의학과","틱,틱증후군"
파라인플루엔자 감염증(Parainfluenza infection),"고막 충혈, 열, 가래, 기침, 편도선 비대, 식욕부진, 구토, 콧물","길랑-바레 증후군, 인후두염",감염내과,"파라인플루엔자,파라인플루엔자 감염"
파라티푸스(Paratyphoid fever),"복부 통증, 발진, 두통, 설사","장티푸스, 세균성 이질, 콜레라, 급성 위장염",,
파라핀종(Paraffinoma),"열감, 환부 통증, 피부소양감, 괴사, 피부궤양","피부 농양, 피부염",성형외과,
파브리병(Fabry disease),"검붉은 색 피부 , 각막 이상, 심혈관계 증상, 복부 통증, 감각 이상, 말초 통증","고셔병, 니만-피크병, 테이-삭스병 , 이염성 백질이영양증 ","의학유전학센터, 소아내분비대사과, 의학유전학과",미만성구간혈관각화종
파상풍(Tetanus),"오심, 호흡곤란, 비웃는 듯한 표정, 근육강직, 삼키기 곤란 , 두통, 후궁반장, 구토",렙토스피라증,감염내과,
파이퍼 증후군 (Pfeiffer syndrome),"안구돌출, 손가락의 변형, 청력장애, 언어장애, 얼굴형태의 이상, 정신 지체, 눈 사이가 멀어보임","에이퍼트 증후군 , 연골무형성증, 크루존 증후군, 스티클러 증후군, 골형성부전증, 니스트 이형성증, 저인산증, 연골형성저하증","의학유전학센터, 의학유전학과",
파종혈관내응고(Diffuse or disseminated intravascular coagulation),"의식 저하, 출혈 경향성, 점상 출혈, 청색증, 경련, 빈뇨, 저혈량 쇼크, 호흡곤란, 무뇨, 복부 통증","췌장암, 폐암, 유방암, 전립선암, 백혈병, 림프종, 급성골수성백혈병, 난소암, 태반 조기 박리, 자간증, 양수색전증, 화상",혈액내과,"범발성혈관내응고증후군(DIC),파종성 혈관 내 응고 증후군"
파킨슨병(Parkinson's disease),"자세 불안정, 손떨림, 자세이상, 경직, 보행이상, 수면장애, 떨림(진전), 서동","알츠하이머병, 이차성 파킨슨증, 비정형 파킨슨 증후군",신경과,"파킨슨질환,퍼킨슨병,특발파킨슨병"
파타우 증후군(Patau syndrome),"다지증, 정신 지체, 심혈관계 증상, 입술, 입천장의 기형, 얼굴형태의 이상","다운 증후군 , 에드워드 증후군 ","의학유전학센터, 의학유전학과",
판코니범혈구감소증(Fanconi Pancytopenia syndrome),,"ARC 증후군, 베크위트-위드만 증후군, 코넬리아드랑게 증후군 , 다발성 흑자 증후군, 클리펠-트라우네이-베버 증후군, 홀트-오람 증후군 , 골덴하 증후군, 연골외배엽 이형성증 , 엘러스-단로스 증후군 ","의학유전학센터, 의학유전학과","Fanconi syndrome,판코니 증후군"
팔로 사 징후(Tetralogy of Fallot with/without PA),"호흡곤란, 청색증, 심잡음, 무산소 발작, 발육부전, 운동 시 호흡곤란","선천성 심장 질환, 심실 중격 결손, 다운 증후군 , 22번 염색체 장완 미세결실 증후군","소아청소년심장과, 소아심장외과, 선천성심장병센터","tof,팔로4징,팔로4징증,팔로4징후,팔로씨4징,팔롯4징,팔롯사징후,활로4징"
팔죽지 골절(Humerus fracture),"뼈의 변형, 손상 부위 통증, 근육강직, 손상부위 촉각 소실, 손상 부위 출혈","원위 요골과 척골 골절, 골절 후 부정 유합, 불유합, 병리적 골절, 피로 골절",정형외과,
패혈성 관절염(Septic arthtritis),"열, 오한, 열감, 관절통, 관절염, 관절 운동성 감소, 환부 부종","전신 홍반성 낭창, 류마티스 관절염, 통풍, 골관절염, 관절염","감염내과, 정형외과, 소아정형외과",세균성 관절염
패혈증(Sepsis),"저혈압, 열, 빈맥, 빈호흡, 의식 저하, 오한, 소변량 감소, 심부전","폐렴, 바이러스성 뇌수막염, 박테리아성 뇌수막염, 급성 신우신염, 파종혈관내응고, 급성 담낭염, 저혈압, 장출혈성 대장균 감염증, 반코마이신 내성 장알균(VRE) 감염증, 반코마이신 내성 황색포도알균(VRSA) 감염증","호흡기내과, 응급의학과, 중환자실, 소아중환자과",패혈증후군
페닐케톤뇨증(Phenylketonuria),"경련, 정신 지체, 습진, 구토","호모시스틴뇨증, 단풍당밀뇨증","의학유전학센터, 소아내분비대사과, 의학유전학과","pku,방향성 아미노산 대사장애,페닐알라닌 수산화효소 결핍,페닐알라닌증"
편도결석(tonsillolith),"구취, 노란 이물질, 귀의 통증, 목의 통증","아데노이드의 비대를 동반한 편도의 비대, 편도선염",이비인후과,
편도선염(Tonsillitis),"열, 목의 통증, 편도선 비대, 삼키기 곤란 ","아데노이드의 비대를 동반한 편도의 비대, 편도결석, 편도암, 상기도 감염",이비인후과,"급성 편도염,편도선염증,편도염,편도염증"
편도암(Tonsillar cancer),"호흡곤란, 목의 이물감, 목의 통증, 삼키기 곤란 ","아데노이드의 비대를 동반한 편도의 비대, 비인두 종양, 편도결석, 편도선염","종양내과, 방사선종양학과, 이비인후과, 암병원",
편두통(Migraine),"박동성 통증, 빛이나 소리 공포증, 구토, 오심","두통, 근육 긴장성 두통, 군발성 두통 증후군, 측두동맥염","가정의학과, 신경과",
편집성 인격장애(Paranoid personality disorder),"긴장, 원한, 질투, 의심, 권리를 강하게 주장",망상 장애,정신건강의학과,"편집적인격장애,편집증"
편평 태선(Lichen Planus),"결절, 적색의 각질화된 피부, 구강궤양, 피부소양감","사마귀, 칸디다성 구내염, 건선",피부과,"구강내편평태선,구강편평태선,편평홍색태선"
폐 농양(Abscess of lung),"열, 기침, 화농성 객담, 체중감소, 호흡곤란",폐렴,호흡기내과,폐농양
폐 전이(Lung Metastasis),"무증상, 기침, 객혈","간 전이, 소세포성 폐암, 비소세포성 폐암, 폐암, 전이성 신장암","종양내과, 호흡기내과, 방사선종양학과, 심장혈관흉부외과","전이된폐암,폐암 전이,전이성폐암"
폐 혈전색전증(Pulmonary thromboembolism),"실신, 발한, 기침, 가슴 통증, 불안, 빈맥, 폐색전, 호흡곤란, 객혈","심부정맥 색전증, 문맥색전증, 동맥색전증 및 혈전증, 양수색전증","심장내과, 심장병원","폐동맥 색전증,폐색전증"
폐결절(Pulmonary nodule),무증상,"폐 전이, 폐결핵, 소세포성 폐암, 폐암, 비소세포성 폐암, 결핵, 아스페르길루스증, 폐 농양, 과오종",호흡기내과,"SPN,Solitary pulmonary nodule,고립성폐결절,단일폐결절,폐의 결절"
폐결핵(Pulmonary tuberculosis),"체중감소, 기침, 객혈, 가래, 열","만성 기침, 결핵, 속립성 결핵, 결핵성 임파선염, 결핵성 복막염, 결핵성 골수염, 결핵성 수막염, 위장관 결핵",호흡기내과,TB
폐경(Menopause),"두통, 불면증, 건망증, 감정 변화, 성욕감퇴, 관절통, 피로감, 가슴 두근거림, 안면홍조, 발한, 요통, 불안","골다공증, 대퇴 골절, 병리적 골절, 복압성 요실금, 요실금, 우울증, 폐경기 및 여성의 갱년기 상태, 급성 심근경색증, 심계항진","내분비내과, 산부인과",난소부전
폐경기 및 여성의 갱년기 상태(Menopausal and female climacteric states),"성욕감퇴, 우울, 발한, 불안, 수면장애, 골다공증, 피부 긴장도 저하, 가슴 두근거림, 안면홍조","골다공증, 고지혈증","내분비내과, 산부인과","갱년기,폐경기"
폐기종(Emphysema),"가래, 가슴 답답, 청색증, 호흡곤란, 하지부종, 기침","만성 폐쇄성 폐질환, 폐렴, 급성 기관지염, 만성 폐질환, 미만성 간질성 폐질환, 만성 기관지염, 특발성 폐섬유화증",호흡기내과,"emphysema of the lung,pulmonary emphysema"
폐렴(Pneumonia),"흉수, 두통, 피로감, 호흡곤란, 기침, 가래, 열, 오한, 가슴 통증","병원 감염성 폐렴, 지역사회성 폐렴, 흡인성 폐렴, 폐렴간균에 의한 폐렴 ","노년내과, 호흡기내과","바이러스성 폐렴,폐염증"
폐렴간균에 의한 폐렴 (Klebsiella pneumoniae infection),"호흡곤란, 열, 오한, 객혈, 가슴 통증","폐렴, 폐 농양",호흡기내과,"크레브시엘라 폐렴,폐렴간균,폐렴간균 폐렴"
폐부종(Pulmonary edema),"말초부종, 기침, 청색증, 객혈, 폐부종","만성 신부전, 급성 신부전, 신부전, 울혈성 심부전",호흡기내과,"급성폐부종,폐수종,폐울혈"
폐색성 혈전 혈관염 (Thromboangiitis obliterans),"말초의 허혈, 저림, 말초 통증",혈관염,혈관외과,"Buerger Disease,Buergers Disease,버거씨병,뷰르거병,폐색혈전혈관염,폐쇄혈전혈관염"
폐성 고혈압(Pulmonary hypertension),"호흡곤란, 피로감, 어지러움, 무증상","동맥색전증 및 혈전증, 선천성 심장 질환, 고혈압, 만성 폐쇄성 폐질환, 만성 폐질환, 심장 판막 질환","심장내과, 소아청소년심장과, 심장병원","폐고혈압,폐동맥 고혈압,폐동맥고혈압"
폐소공포증(Claustrophobia),"불안, 좁은 공간에서의 불안감","사회공포증, 광장공포증, 불안 장애",정신건강의학과,
폐암(Lung cancer),"무증상, 기침, 호흡곤란, 객혈, 목소리 변화, 가슴 통증, 체중감소","비소세포성 폐암, 소세포성 폐암, 만성 기침, 폐 전이","종양내과, 호흡기내과, 방사선종양학과, 심장혈관흉부외과, 암병원","기관지암,폐 악성신생물,폐악성종양,폐암종"
포경(Phimosis),"생식기 부종, 발적","감돈포경, 귀두포피염",비뇨의학과,
포도막염(Uveitis),"눈의 충혈, 눈의 통증, 시력 감소, 비문증, 광과민성, 앞이 뿌옇게 보임, 눈부심","결핵, 망막 정맥 폐쇄, 망막 박리, 녹내장, 베체트 병, 류마티스 관절염, 매독, 홍채염",안과,
포도상구균 감염(Staphylococcus aureus infection),"발진, 열, 환부 통증",병원 감염성 폐렴,"감염내과, 소화기내과, 호흡기내과","Staphylococcus,포도상구균,황색포도상구균"
포르피린증(Porphyria),"광과민성, 잇몸 위축, 빈혈, 구토, 창백, 오심","당뇨병, 용혈빈혈, 간경화",혈액내과,"포르피리아,포르피리아증"
포상기태(Hydatidiform mole),"거대자궁, 구토, 임신 오조증, 비정상적 질출혈, 복부 통증","비정상적 자궁, 질 출혈, 유산",산부인과,포도송이기태
폰빌레브란트병(Von Willebrand disease),"출혈 경향성, 점상 출혈, 비출혈, 월경과다",혈우병,혈액내과,"Pseudohemophilia B,vWD,vascular hemophilia,가성혈우병,폰빌레브란트,혈관혈우병"
폼페병(Pompe disease),"호흡곤란, 근력 약화, 심근손상","당원 축적병, 갈락토오스혈증","의학유전학센터, 소아내분비대사과, 의학유전학과","GSD II,Glycogen storage disease type II,글리코겐 축적 질환 Ⅱ,당원병Ⅱ형"
표피낭종(Epidermal cyst),"압통, 발적, 노란 이물질, 덩어리가 만져짐","기저세포 암종, 지방종, 피부의 양성 종양, 여드름","성형외과, 피부과",피하낭종
풍진(Rubella(German measles)),"림프 부종, 눈의 충혈, 열, 발진, 권태감, 두통",홍역,감염내과,"3일 홍역,독일홍역"
프라더 윌리 증후군 (Prader-Willi syndrome),"정신 지체, 식욕증가, 복부비만, 근긴장의 이상","22번 염색체 장완 미세결실 증후군, 윌리암스 증후군 , 18번 염색체 단완결실 증후군, 4번 염색체 단완결실 증후군, 스미스-마제니스 증후군 , 엔젤만 증후군, 묘성 증후군, 18번 염색체 장완결실 증후군 ","의학유전학센터, 소아내분비대사과, 의학유전학과","프레더 윌리 증후군,프래더 윌리 증후군"
프로피온산증(Propionic acidemia),"수유 곤란, 점상 출혈, 산혈증, 출혈 경향성, 식욕부진, 탈수, 구토","레쉬-니한 증후군 , 메틸말론산증","의학유전학센터, 소아내분비대사과, 소아신경과, 의학유전학과",프로피온산 혈증
프리이드라이히 운동실조증 (Friedreich ataxia),,"척수소뇌성 운동실조증 , 척수구근 근위축증 , 헌팅톤 병, 유약 X 증후군, 근긴장성 이영양증 , Haw River 증후군","의학유전학센터, 의학유전학과",프리드라이히 실조증
피로 골절(Stress fracture),"무증상, 손상 부위 통증, 환부 부종","원위 요골과 척골 골절, 골절 후 부정 유합, 불유합, 병리적 골절, 대퇴 골절, 천추골 골절, 팔죽지 골절, 경골과 비골 골절",정형외과,스트레스 골절
피부 농양(Cutaneous abscess),"고름, 환부 부종, 림프절 농양, 발적, 환부 통증","한선염, 기저귀 피부염, 지루성 피부염, 탈락 피부염, 아토피성 피부염, 모낭염, 피부염, 접촉 피부염","성형외과, 피부과",종기
피부 이식을 통한 조직 재건(Tissue reconstruction with skin graft),,"피부암, 압궤 손상, 색소 세포성 모반, 상피내 신생물, 악성 흑색종, 기저세포 암종",성형외과,"전층피부이식,부분층 피부이식"
피부건조증(Xerosis cutis),"피부균열, 피부소양감, 피부 각질","점액수종 혼수, 다운 증후군 , 어린선, 당뇨병, 림프종, 후천성 면역결핍증, 노화, 안구 건조증, 증상이 없는 HIV 감염",피부과,
피부근육염(Dermatopolymyositis),"관절통, 근력 약화, 피부궤양, 피부색 변화, 호흡곤란, 발진, 환부 부종, 삼키기 곤란 , 열","전신 홍반성 낭창, 류마티스 관절염, 쇼그렌 증후군",류마티스내과,"다발근육염,다발성근육염,소아피부근염,염증성 근병증,염증성 근육병증"
피부섬유육종(Dermatofibrosarcoma ),"갈색 피부 반점, 결절","육종, 신경섬유종, 카포시 육종, 연부조직 육종","성형외과, 피부과",
피부암(Skin cancer),"갈색 피부 반점, 환부 통증, 결절, 딱지, 색소 침착, 점 안에 다른 색 피부, 피부궤양","백반증, 화상, 카포시 육종, 광선 각화증, 악성 흑색종","종양내과, 방사선종양학과, 성형외과, 피부과, 피부암센터","피부암종,피부의 악성종양"
피부염(Dermatitis),"물집, 피부 건조, 발진","탈락 피부염, 지루성 피부염, 접촉 피부염, 아토피성 피부염",피부과,습진(eczema)
피부의 양성 종양(Benign skin tumor),"낭종, 갈색 피부 반점","사마귀, 피부암, 베체트 병, 안검황색종, 비립종, 주근깨, 광선 각화증, 색소 세포성 모반, 상피내 신생물, 티눈 및 굳은살, 표피낭종, 기저세포 암종","성형외과, 피부과",피부 양성종양
피질하 경색과 백질뇌증을 동반하는 상염색체 우성 뇌동맥질환(Cerebral Autosomal Dominant Arteriopathy with Subcortical Infarcts and Leukoencephalopathy),"편두통, 치매, 시야장애, 우울, 마비, 언어장애, 뇌전증 발작 ","레트 증후군 , 신경섬유종, 결절성 경화증 , 모세혈관 확장성 운동실조 증후군 , 뇌졸중, 로우 증후군","신경과, 의학유전학과",CADASIL
피판술을 통한 조직의 재건(Tissue reconstruction with flaps),,"상피내 신생물, 육종, 압궤 손상, 악성 흑색종, 색소 세포성 모반, 기저세포 암종, 피부암, 연부조직 육종",,"국소 피판술,유리 피판술"
하지 정맥류(Varicose veins),"환부 통증, 피부경화, 피부궤양, 경련, 작열감, 피로감, 하지부종, 피부 긴장도 저하","동맥색전증 및 혈전증, 심부정맥 색전증, 위 정맥류, 식도 정맥류",혈관외과,"정맥류,다리 정맥류"
하지불안증후군(Restless Legs Syndrome),"저림, 수면장애, 다리 통증",수면 장애,"신경과, 정신건강의학과","Restless Legs Syndrome,하지불안증"
한관종(Syringoma),"눈,뺨 주위 작은 낭종, 덩어리가 만져짐","비립종, 쥐젖",피부과,
한랭 두드러기(Cold urticaria),"발적, 환부 부종, 두드러기, 피부소양감","감염성 단핵구증, 인후두염, 편도선염, 한랭글로불린혈증, 음식 알레르기, 약물 알레르기, 만성 두드러기, 아나필락시스","피부과, 알레르기내과","한냉 두드러기,한랭성 두드러기,콜드알러지,콜드알레르기,추위알레르기"
한랭글로불린혈증(Cryoglobulinemia),"무증상, 말초 통증, 말초 신경장애, 자반증, 환부 통증, 관절염, 청색증, 피부색 변화, 피부궤양, 레이노이드 현상","급성 바이러스성 간염, 급성 A형 간염, 림프종, 다발골수종, 만성림프구백혈병, 급성 C형 간염, 급성 B형 간염, 사구체신염, 자가면역 질환",혈액내과,한냉글로불린혈증
한선염(Hidradenitis suppurativa),"장액성 분비물, 면포, 고름, 결절, 압통","갑상선염, 취한증, 여드름, 피부의 양성 종양","성형외과, 피부과","화농성 한선염,아포클린 한선 여드름"
한센병(Leprosy),"발진, 안구혼탁, 피부염증, 결절, 눈물흘림","홍채염, 각막염",감염내과,"한센씨병,문둥병,나병"
한포진(Acute vesiculobullous hand eczema),,"무좀, 습진, 수부 습진, 천포창",피부과,급성 수포성 수부 습진
함몰 유두(Inverted nipple),함몰유두,"결핵, 유방의 섬유선종, 유방 종양, 유방의 엽상 종양, 유방 농양, 유관 확장증, 유방암",성형외과,구융젖
항문 누공(Anal fistula),"고름, 열, 항문주위 염증, 항문 통증","항문 열구, 항문소양증, 항문암, 항문 주위 농양, 항문 및 직장의 궤양","소화기내과, 대장항문외과",치루
항문 및 직장의 궤양(Ulcer of anus and rectum),"혈변, 복부 통증, 오심, 설사, 잔변감, 열","직장암, 항문 열구, 항문 주위 농양, 항문 누공, 대장암, 항문암, 치핵",소화기내과,
항문 열구(Anal fissure),"항문 통증, 항문주위 염증, 항문출혈","변비, 항문 및 직장의 궤양, 항문소양증, 항문암, 항문 누공, 크론병, 항문 주위 농양","소화기내과, 대장항문외과","치열,항문열창"
항문 주위 농양(Perianal abscess),"열, 항문주위 염증, 항문 통증, 고름","항문 열구, 크론병, 항문암, 항문소양증, 항문 및 직장의 궤양, 항문 누공","소화기내과, 대장항문외과","항문농양,항문직장 고름집"
항문 폐쇄증(Imperforate anus),복부팽만감,"선천성 소장 결손, 폐쇄 및 협착",소아외과,"무공성 항문,쇄항,폐쇄성 항문"
항문소양증(Pruritusani),"항문주위 염증, 소양감, 발적","피부염, 접촉 피부염, 소양증","소화기내과, 피부과, 대장항문외과","항문가려움,항문가려움증,항문소양,항문소양감"
항문암(Anal cancer),"고름, 소양감, 항문출혈, 변실금, 배변습관의 변화","항문 주위 농양, 항문 및 직장의 궤양, 후천성 면역결핍증, 항문 누공, 항문 열구, 치핵","종양내과, 방사선종양학과, 대장항문외과, 암병원","항문관암,항문악성종양,항문의 악성신생물"
항인지질 항체 증후군(Antiphospholipid antibody syndrome),"혈소판감소 , 심부정맥혈전증, 습관성 유산","급성 심근경색증, 폐성 고혈압, 유산, 신증후군, 파종혈관내응고, 전신 홍반성 낭창, 뇌졸중","감염내과, 내분비내과, 혈액내과",휴즈 증후군
해리 장애(Dissociative disorder),"비현실감, 이인증, 정체감 혼란 및 변형, 기억장애",외상 후 스트레스 장애,정신건강의학과,"다중인격,다중인격장애,이인성장애,해리성기억상실,해리성둔주,해리성장애,해리성정체감장애,해리성정체성장애,해리성정체장애"
해외여행 시 주의사항(Travel counseling),"구토, 열, 설사","급성 A형 간염, 말라리아, 콜레라, 아메바성 간농양, 아메바성 이질, 보툴리즘 중독, 익수, 식중독, 뎅기열, 급성 C형 간염",감염내과,
핵황달(Kernicterus),"황달, 후궁반장, 반사 이상, 근육강직, 뇌전증 발작 ","간경화, 신생아 황달",어린이병원,
"행동 및 충동 장애(Disruptive, impulse-control and conduct disorders)","낮은 지능, 정서 및 행동의 일탈, 조절할 수 없는 충동감, 위험한 행동 반복, 낮은 학업 성취","병적 방화, 발모벽, 병적 도벽",정신건강의학과,"조절 장애,충동 장애,충동조절장애"
허혈성 심질환(Ischemic heart disease),"호흡곤란, 방사통, 가슴 통증","협심증, 급성 심근경색증, 불안정형 협심증, 오래된 심근경색증, 심근병증, 부정맥, 전도 장애, 흉통","심장내과, 심장병원","허혈성심장병,허혈성심장질환"
헌터 증후군(Hunter Syndrome),,"산필리포 증후군, 마로토-라미 증후군, 슬라이 증후군, 헐러 증후군, 모르키오 증후군, 뮤코다당질축적증","의학유전학센터, 소아내분비대사과, 의학유전학과","Hunter disease,Mucopolysaccharidosis II형,뮤코다당증 제2형"
